Text,Sentiment
,
in I didn t expected this from Swiggy I even thought about getting premium account But with this customer help team I don t think it s gonna last longer Bad customer service Pay more to customer service to serve better than to Google for ads,negative
,
it happened again order status showing food delivered but more than 2 hours nothing chat support said money will be refunded in 7 10 business days i guess now must have figured out why more people are going to swiggy and zomato coz i am doing the same now,positive
,
Modiji said in 2014 ki mehengai kam karaage aur yaha unki favorite masala khichdi Swiggy pe 139 ki bik rahi hai,positive
,
in I didn t expect this from u guys 50 off and 50 less food wow don t cheat us like this Don t give offers of you can t serve it better Worthless Order no 25204659471 from subway had same experience day b4 with Grenz ON 25121698023 refund please,negative
,
in look at your service my 2 consecutive orders failed waited for 2 hours still don t have food,negative
,
RT Hi in Time you guys stopped harassing people A delivery executive had the brains to deliver,neutral
,
RT Five of India s best funded startups lost over a billion dollars in 2018,positive
,
SERIOUSLY I live in India and in my city when I go out all I see is Uber Eats Swiggy and Zomato The other two are food delivery apps too,positive
,
in 75 minutes for an order from a restaurant 5 min away in 75 min is the flight time from Delhi to Raipur,neutral
,
in perhaps doesn t even provide raincoats to delivery boys should they have to deliver in rains typical India Inc cutting costs by reducing essentials,negative
,
70 min passed and in hasn t been able to deliver an order Delivery time promised 30 minutes No of customer care executives talked to Three All of no help and same scripted answer,positive
,
RT I have ordered food from swiggy but food was uncooked salty as well there was fungus on the chapatis I have called swi,negative
,
RT Swiggy Order 13944377248 Received Bad quality old food Restaurant Name The Pool Cafe 24 7 Raja s c mullick,negative
,
RT in Look at this vdo where a customer ordered from swiggy mumbai a cake from HANGOUT cake,neutral
,
RT in Look at this vdo where a customer ordered from swiggy mumbai a cake from HANGOUT cake sh,neutral
,
RT 17924360155 order id For order worth 510 where I received stale fungus food swiggy gave me 150 rs coupon,negative
,
RT in These are the kinds of restaurants listed on your app Ordered garlic bread from Food Sins and was,neutral
,
It seems in are not capable to resolve the calculation issue coming in restaurant meraki is it Intentionally put there,negative
,
RT kunalnagar in delivering fungus covered stale food is a new low in the food delivery business Ord,negative
,
RT theobroma Had ordered mawa cake from your outlet via Swiggy on Oct 16 Firstly the order was changed to eggless mawa,positive
,
RT I think Swiggy is getting use to deliver bad quality food Today I ordered from subway where I found that the,negative
,
Hey Murali Absolutely our app is not a patch on family dinner If you ve ever tried hugging the Swiggy app you d know 1 2,positive
,
RT I have placed an order with in from bhagatram restaurant I have got a GulabJamun with fungus grown on it Is t,neutral
,
in I have ordered food on 28th October but due to some issue restaurant hasn t accepted my order so I have cancelled order by they said that refund will get with in 7days still now no refund Today chat executive had issued coupon for money I got bad response from you,negative
,
in pathetic service delivery ex n a due to rains in ur area come on now is this a fucking reason if so stop your app on such days in such areas have already paid for my order 25206075419 does in refund in case of delayed delivery,negative
,
in the current advertisement by you guys is in such a bad taste you are basically discouraging families from cooking and eating at home which is an essential part of having a strong family Very sad way to spreading your brand and advertising in,negative
,
in SUPER Subscriber expierence,positive
,
RT in yesterday i ordered the food at 10 20,neutral
,
RT Food delivery apps like swiggy scootsy n zomato shud only hire local Maharashtra youth so the safety and hygiene is ensure,neutral
,
in there is something terribly wrong with your app It s been sending such push notification without me even using the app in last 1 week It s sending notification from last 1 hour multiple times,negative
,
RT FITNESSS fitness in,neutral
,
RT in What is fssai doing just need to verify in and take,neutral
,
RT in Include GoI let them know how eCommerce is looting the common people,negative
,
RT Today Swabhiman team met Swiggy scootsy n zomato management and forwarded our demand for hiring local youth n make necessa,neutral
,
umesh in Sold out,neutral
,
Hi in Time you guys stopped harassing people A delivery executive had the brains to deliver our order somewhere With the online payment done The chat executive says they don t have the contact listed I need action ASAP My patience has worn out,negative
,
swiggy deliverers food with branding of is this SUPER expierence in,positive
,
And the executive who delivered showed me his app and the order was assigned to him at 10 40 I don t know what you guys are upto Absolutely horrible in,negative
,
RT please change your handle because if u really care you won t make your patrons wait for an hour for food and cance,negative
,
wish my first tweet would have been something happy to share yet here i am sharing my worst service experience with in with there pathetic inefficient and completely unacceptable response Two times in a row they cancelled my food order with over 3hrs delay,negative
,
and suddenly you get RS 100 coupon after 10 days in your account like an insult as if throwing biscuit to a stray dog on street is this SUPER treatment in,negative
,
in Hahahahaha,positive
,
Horrible service by in Placed an order for kulfi sticks at 9 31 n order received it at 11 20 Raised a complaint with them through chat at 10 30 ish and there wasn t a response so tried calling them Their phone line was also not connecting,negative
,
in ordered lemon and mint iced tea 2 hours back from Tpot Paid completely through paytm but received incomplete order only mint iced tea after 1 5 hours raised complaint about it but to no avail This is how swiggy cheats customer I want refund Shame,negative
,
in the customers who pays for super membership they receieve delivery of melted ice cream SUPER,positive
,
Support Nw due to this ruckus m compelled to place an order thru in,negative
,
This is the kind of service I like Well done in,positive
,
Swiggy delivery guy,neutral
,
Can you please start delivery services for Savali Nigdi Pune Gayatrree Akurdi Pune Shreeji Naan amp Paratha Akurdi Pune All 3 are listed on Zomato as restros and all are delivering via Swiggy It would be great if they can deliver on Zomato,positive
,
sw in Get married Ghar ka khana,positive
,
please change your handle because if u really care you won t make your patrons wait for an hour for food and cancel the order after an hour only post the follow up call in,negative
,
RT how can some restaurants on swiggy have medu vadai dosa and idly obvs that means sambar is there but not sambar vadai,neutral
,
,neutral
,
in,neutral
,
RT in please assist,neutral
,
dhaksh Swiggy kindly don t come to my native,positive
,
in No surprise for Me till date,neutral
,
Jitrndra Panwar looser go get some mind and then reply to customers u don t deserve swiggy or any company in,neutral
,
I just ordered another order and the amount has been debited from my card now it s showing restaurant the restaurant is closed Swiggy just ruined my dinner,negative
,
in very pothetic experience in my one order 25196443071 And they guys not even listen to query It is very bad experience,negative
,
If this type of support u provide Jitendra panwar then I request to swiggy plz wind up the service and leave us We don t want such irritating customer care response who behave foolishly and replied very illogically he is such big zero in,negative
,
RT When you order egg fried rice from in the healthy protein rich food is cooked along with a extra bug or a small,positive
,
Swiggy offers happened,positive
,
just delivered my food in 14 mins through in Pop for 49 That s Fast,positive
,
kalpesh in Ok 154 including all the chargers Then why you guys are adding 25 after discount I mean 77 25 And if I am using coupon of 50 Why there is 40 discount,positive
,
in swiggy terrible customer Service no customer satisfaction,negative
,
in Give complaint to GHMC,negative
,
in Not again Totally unexpected ordered Apple got Orange Order id 25196773193 Refer pic what I Received And when I spoke to executive they harass me with vulgarity,negative
,
in We are overwhelmed to see your tweet of love and support Happy Swiggying Lakshmi,positive
,
RT StartUpIndia Hungry to expand India s five best funded startups lost more than 1 billion Paytm Flipkart MakeMyTrip I,positive
,
RT plz in if I order from Zomato and the resturant send me any shit w,negative
,
in my order hasn t reached me everyone is giving a different reason 1 Social media team says food is getting prepared 2 Delivery boy says i won t come because address is wrong though it was picked automatically with GPS 1 2,negative
,
in yo I don t have an active order And it s not raining where I am I ve received this notification thrice in the past 15 mins Stop,negative
,
Now everyone join this campaign no swiggy go swiggy I will make every effort to give u good lesson Jitendr Panwar for ur third class arbitrary answer he asked me to call amazon while mistake did by swiggy this guy has no sense of humour how can u hire this type of people,positive
,
in Oooh it s the thought that counts THANK YOU,neutral
,
in WTF happened to swiggy delivery 3rd time in a week had bad experience with swiggy at Mumbai 25198195342 order id 20minutes delayed and told to wait another 10 minutes Instead of 116 rs order need to reorder for 240 as most resturants closed Very Bad,negative
,
RT Watch Breaking Point High Altitude Warfare School only on Co Presenting Sponsor,positive
,
Jitendr Panwar one of the senseless customer executive of swiggy who even don t know what he is talking he accept that swiggy is responsible for non deliver of order at the same time he said we can t help how irritating person he is Go swiggy no swiggy,negative
,
in We are flattered Happy Swiggying Lakshmi,positive
,
Swiggy com Engage 2000 Women for Food Delivery By March 2019 via,neutral
,
worst and pathetic reply by jitendra pawar he is guy who even don t know the meaning of mistake he accept his mistake as well as say sorry too and said that I can t help u This is swiggy in lieu of 200rs he offer 75 Are u kidding with me,negative
,
